Places de turisme rural
Municipis. 2023
Font: Idescat, a partir del Departament d'Empresa i Treball.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=turall&n=6039&geo=mun&t=202300
Codi;Nom;Casa de poble compartida;Casa de poble independent;Masia;Masoveria;Total
080327;Caldes d'Estrac;0;0;0;0;0
170335;Caldes de Malavella;0;0;23;22;45
080333;Caldes de Montbui;0;0;0;6;6
080351;Calella;0;0;0;0;0
080370;Calldetenes;0;0;0;0;0
080386;Callús;0;0;0;0;0
080364;Calonge de Segarra;0;38;24;0;62
170340;Calonge i Sant Antoni;0;0;15;22;37
250621;Camarasa;0;10;0;9;19
439039;Camarles;0;0;0;17;17
430385;Cambrils;0;0;14;0;14
170353;Camós;0;0;15;86;101
170366;Campdevànol;0;0;0;41;41
170372;Campelles;0;25;0;12;37
080399;Campins;0;0;0;12;12
170388;Campllong;0;0;19;15;34
170391;Camprodon;6;8;58;35;107
250637;Canejan;0;0;0;0;0
170405;Canet d'Adri;0;0;41;9;50
080403;Canet de Mar;0;0;0;0;0
439076;Canonja, la;0;0;0;0;0
080410;Canovelles;0;0;0;0;0
080425;Cànoves i Samalús;0;0;19;6;25
170412;Cantallops;0;0;9;0;9
080431;Canyelles;0;0;23;0;23
430398;Capafonts;4;9;0;0;13
430402;Capçanes;0;7;0;0;7
080446;Capellades;0;0;0;0;0
170427;Capmany;0;20;6;25;51
080459;Capolat;0;0;0;53;53
080462;Cardedeu;0;0;7;0;7
080478;Cardona;0;0;15;56;71
080484;Carme;0;0;0;0;0
430419;Caseres;0;9;0;8;17
170448;Cassà de la Selva;0;0;0;31;31
080497;Casserres;0;31;0;199;230
170486;Castell d'Aro, Platja d'Aro i s'Agaró;0;0;9;0;9
080575;Castell de l'Areny;0;12;15;17;44
259046;Castell de Mur;45;12;0;0;57
250642;Castellar de la Ribera;0;0;0;13;13
080522;Castellar de n'Hug;0;6;0;8;14
080500;Castellar del Riu;0;0;0;25;25
080517;Castellar del Vallès;0;0;0;0;0
080538;Castellbell i el Vilar;5;18;0;8;31
080543;Castellbisbal;0;0;0;0;0
080556;Castellcir;0;0;0;0;0
250674;Castelldans;0;0;0;0;0
080569;Castelldefels;0;0;0;0;0
080581;Castellet i la Gornal;0;23;0;21;44
170464;Castellfollit de la Roca;2;0;0;0;2
080608;Castellfollit de Riubregós;0;8;0;7;15
080594;Castellfollit del Boix;0;0;0;47;47
080615;Castellgalí;0;0;0;0;0
080620;Castellnou de Bages;0;0;0;39;39
250680;Castellnou de Seana;0;23;0;0;23
170470;Castelló d'Empúries;14;0;20;0;34
250693;Castelló de Farfanya;0;0;0;0;0
080636;Castellolí;0;0;6;0;6
250707;Castellserà;0;0;0;8;8
080641;Castellterçol;0;0;0;29;29
430424;Castellvell del Camp;0;0;0;0;0
080654;Castellví de la Marca;0;0;10;51;61
080667;Castellví de Rosanes;0;0;0;0;0
430430;Catllar, el;0;0;14;12;26
250714;Cava;0;14;0;0;14
171899;Cellera de Ter, la;14;0;0;0;14
170499;Celrà;0;0;0;14;14
080673;Centelles;0;0;0;10;10
082687;Cercs;0;0;0;35;35
082665;Cerdanyola del Vallès;0;0;0;0;0
080689;Cervelló;0;0;0;0;0
250729;Cervera;0;0;7;0;7
250735;Cervià de les Garrigues;0;0;0;0;0
170502;Cervià de Ter;0;0;0;0;0
170519;Cistella;0;0;28;37;65
250740;Ciutadilla;0;6;0;0;6
250753;Clariana de Cardener;0;0;0;31;31
250766;Cogul, el;0;0;0;0;0
170545;Colera;0;0;0;0;0
250772;Coll de Nargó;0;21;15;40;76
080692;Collbató;0;4;0;15;19
430458;Colldejou;0;5;0;0;5
080706;Collsuspina;2;4;0;20;26
170558;Colomers;0;0;0;0;0
251636;Coma i la Pedra, la;0;0;0;15;15
251615;Conca de Dalt;26;40;0;0;66
430461;Conesa;0;13;0;0;13
430477;Constantí;0;0;0;0;0
080713;Copons;0;0;0;0;0
430483;Corbera d'Ebre;15;0;0;4;19
080728;Corbera de Llobregat;0;0;0;0;0
250788;Corbins;0;0;0;0;0
170577;Corçà;36;0;11;5;52
080734;Cornellà de Llobregat;0;0;0;0;0
170561;Cornellà del Terri;10;32;76;61;179
430496;Cornudella de Montsant;25;59;0;15;99
430509;Creixell;0;0;0;0;0
170583;Crespià;2;7;8;24;41
179011;Cruïlles, Monells i Sant Sadurní de l'Heura;10;0;51;62;123
080749;Cubelles;0;0;0;0;0
250791;Cubells;0;0;0;0;0
430516;Cunit;0;0;0;0;0
170600;Darnius;0;0;14;0;14
170617;Das;15;5;0;4;24
439018;Deltebre;0;0;12;115;127
080752;Dosrius;0;9;0;31;40
430537;Duesaigües;0;9;0;0;9
170622;Escala, l';0;0;0;0;0
080765;Esparreguera;0;0;0;0;0
170638;Espinelves;0;0;0;0;0
250812;Espluga Calba, l';0;0;0;0;0
430542;Espluga de Francolí, l';0;0;10;21;31
080771;Esplugues de Llobregat;0;0;0;0;0
170643;Espolla;10;17;0;0;27
170656;Esponellà;4;28;0;48;80
250827;Espot;29;22;0;0;51
080787;Espunyola, l';0;0;0;119;119
082541;Esquirol, l';0;0;0;35;35
250886;Estamariu;2;0;0;0;2
080790;Estany, l';0;13;0;0;13
250851;Estaràs;0;0;9;0;9
250864;Esterri d'Àneu;12;0;0;0;12
250870;Esterri de Cardós;12;36;0;0;48
430555;Falset;0;0;13;15;28
170059;Far d'Empordà, el;0;0;0;0;0
250899;Farrera;5;8;0;0;13
430568;Fatarella, la;0;0;0;0;0
430574;Febró, la;0;10;0;0;10
081347;Figaró-Montmany;0;0;11;8;19
080804;Fígols;0;0;0;0;0
259084;Fígols i Alinyà;7;0;0;8;15
430580;Figuera, la;0;0;0;0;0
170669;Figueres;0;0;0;0;0
430593;Figuerola del Camp;0;0;0;8;8
170675;Flaçà;0;0;0;0;0
430607;Flix;0;0;10;0;10
250925;Floresta, la;0;0;0;0;0
080826;Fogars de la Selva;0;0;0;12;12
080811;Fogars de Montclús;0;0;12;31;43
170681;Foixà;0;0;0;0;0
080832;Folgueroles;0;0;0;5;5
250931;Fondarella;0;0;0;0;0
080847;Fonollosa;0;6;15;44;65
170694;Fontanals de Cerdanya;22;0;0;0;22
170708;Fontanilles;9;12;12;54;87
170715;Fontcoberta;0;0;0;63;63
080850;Font-rubí;9;9;0;23;41
250946;Foradada;9;30;0;0;39
179026;Forallac;43;21;30;21;115
430614;Forès;0;0;0;0;0
170736;Fornells de la Selva;0;0;0;43;43
170741;Fortià;11;4;0;0;15
080863;Franqueses del Vallès, les;0;0;4;0;4
430629;Freginals;0;0;0;0;0
250962;Fuliola, la;0;0;0;0;0
250978;Fulleda;0;0;0;0;0
080902;Gaià;0;0;12;20;32
430635;Galera, la;12;0;0;0;12
080879;Gallifa;0;0;0;0;0
430640;Gandesa;0;0;0;0;0
430653;Garcia;8;0;0;0;8
430666;Garidells, els;0;10;0;0;10
080885;Garriga, la;0;0;0;4;4
170754;Garrigàs;0;0;0;0;0
170767;Garrigoles;9;0;0;0;9
170773;Garriguella;18;33;0;27;78
080898;Gavà;0;0;0;0;0
250984;Gavet de la Conca;13;14;30;8;65
080919;Gelida;0;0;14;13;27
170789;Ger;14;6;0;4;24
259123;Gimenells i el Pla de la Font;0;0;0;0;0
430672;Ginestar;0;38;0;0;38
170792;Girona;0;0;0;15;15
080924;Gironella;0;0;0;30;30
080930;Gisclareny;0;0;15;0;15
430688;Godall;0;0;0;0;0
250997;Golmés;0;0;0;0;0
170806;Gombrèn;0;0;15;40;55
251001;Gósol;0;13;7;0;20
080945;Granada, la;0;0;0;0;0
251018;Granadella, la;0;0;0;0;0
080958;Granera;0;0;11;10;21
251023;Granja d'Escarp, la;0;9;0;0;9
080961;Granollers;0;0;0;0;0
251039;Granyanella;0;14;0;0;14
251057;Granyena de les Garrigues;0;0;0;0;0
251044;Granyena de Segarra;0;7;0;0;7
430691;Gratallops;0;5;0;0;5
080977;Gualba;0;0;0;0;0
170813;Gualta;0;15;0;0;15
080996;Guardiola de Berguedà;0;12;0;15;27
430705;Guiamets, els;0;4;0;0;4
170828;Guils de Cerdanya;0;0;0;0;0
251095;Guimerà;0;32;0;0;32
259031;Guingueta d'Àneu, la;0;16;0;0;16
251109;Guissona;0;4;0;0;4
251116;Guixers;0;0;0;44;44
081000;Gurb;0;0;0;50;50
430712;Horta de Sant Joan;0;11;5;82;98
081017;Hospitalet de Llobregat, l';0;0;0;0;0
081629;Hostalets de Pierola, els;0;0;0;11;11
170834;Hostalric;0;0;0;0;0
081022;Igualada;0;0;0;0;0
251155;Isona i Conca Dellà;9;15;0;10;34
170849;Isòvol;15;13;15;0;43
251137;Ivars d'Urgell;0;0;17;25;42
251121;Ivars de Noguera;0;0;0;9;9
251142;Ivorra;0;0;0;0;0
170852;Jafre;0;0;0;0;0
170865;Jonquera, la;0;0;0;0;0
081038;Jorba;0;0;0;35;35
259101;Josa i Tuixén;25;8;0;0;33
170871;Juià;0;0;15;0;15
251180;Juncosa;0;0;0;0;0
251193;Juneda;0;0;0;9;9
251214;Les;0;7;0;0;7
251229;Linyola;0;0;0;6;6
081043;Llacuna, la;0;24;0;23;47
170887;Lladó;0;5;0;7;12
251235;Lladorre;23;29;8;4;64
251240;Lladurs;0;5;0;190;195
081056;Llagosta, la;0;0;0;0;0
170890;Llagostera;0;0;53;4;57
170904;Llambilles;0;0;0;0;0
170911;Llanars;0;0;11;0;11
170926;Llançà;0;0;0;0;0
251253;Llardecans;0;10;0;0;10
251266;Llavorsí;0;0;0;0;0
251207;Lleida;0;0;14;11;25
170932;Llers;0;7;0;0;7
251272;Lles de Cerdanya;39;48;0;0;87
081075;Lliçà d'Amunt;0;0;18;0;18
081081;Lliçà de Vall;0;0;0;0;0
251288;Llimiana;0;0;0;14;14
081069;Llinars del Vallès;0;0;32;28;60
170947;Llívia;29;20;0;0;49
430727;Lloar, el;0;0;0;0;0
251291;Llobera;0;12;0;27;39
430733;Llorac;0;22;0;0;22
430748;Llorenç del Penedès;0;0;0;0;0
170950;Lloret de Mar;0;0;0;0;0
170963;Llosses, les;0;0;15;104;119
081094;Lluçà;8;0;12;16;36
171024;Maçanet de Cabrenys;0;5;0;20;25
171030;Maçanet de la Selva;0;0;0;15;15
170979;Madremanya;0;0;0;0;0
170985;Maià de Montcal;0;0;19;0;19
251333;Maials;0;17;0;0;17
251305;Maldà;0;8;0;0;8
081108;Malgrat de Mar;0;0;0;0;0
081115;Malla;0;0;4;20;24
081120;Manlleu;0;0;10;4;14
081136;Manresa;0;0;0;6;6
430764;Marçà;0;0;15;7;22
430751;Margalef;9;0;0;0;9
082423;Marganell;0;0;0;4;4
081141;Martorell;0;0;0;0;0
081154;Martorelles;0;0;0;0;0
430770;Mas de Barberans;12;8;0;0;20
171002;Masarac i Vilarnadal;4;0;0;0;4
430786;Masdenverge;15;12;0;4;31
081167;Masies de Roda, les;0;0;0;0;0
081173;Masies de Voltregà, les;0;0;0;23;23
430799;Masllorenç;7;0;0;0;7
081189;Masnou, el;0;0;0;0;0
430803;Masó, la;0;0;0;0;0
430810;Maspujols;0;0;0;0;0
081192;Masquefa;0;0;0;0;0
430825;Masroig, el;0;9;0;0;9
251312;Massalcoreig;0;0;0;0;0
171019;Massanes;0;0;0;15;15
251327;Massoteres;0;7;0;26;33
081206;Matadepera;0;0;0;0;0
081213;Mataró;0;9;14;0;23
081228;Mediona;10;13;28;0;51
251348;Menàrguens;0;0;0;0;0
170998;Meranges;15;0;0;0;15
171058;Mieres;0;15;0;27;42
430831;Milà, el;0;0;0;12;12
251351;Miralcamp;0;8;0;0;8
430846;Miravet;20;10;0;13;43
081385;Moià;0;0;12;62;74
430859;Molar, el;0;0;0;0;0
081234;Molins de Rei;0;0;0;0;0
251370;Mollerussa;0;0;0;0;0
171061;Mollet de Peralada;0;0;0;8;8
081249;Mollet del Vallès;0;0;0;0;0
171077;Molló;11;4;30;22;67
251364;Molsosa, la;0;12;0;35;47
081287;Monistrol de Calders;0;0;0;4;4
081271;Monistrol de Montserrat;0;0;0;14;14
171096;Montagut i Oix;4;0;43;6;53
430862;Montblanc;0;8;37;21;66
430884;Montbrió del Camp;0;0;8;8;16
081252;Montcada i Reixac;9;0;0;0;9
081304;Montclar;0;0;0;62;62
251399;Montellà i Martinet;20;0;10;0;30
081311;Montesquiu;0;0;0;0;0
251403;Montferrer i Castellbò;0;22;0;12;34
430897;Montferri;15;8;0;4;27
251386;Montgai;0;25;0;12;37
081265;Montgat;0;0;0;0;0
081326;Montmajor;0;8;16;52;76
081332;Montmaneu;0;0;0;0;0
430901;Montmell, el;0;0;0;26;26
081350;Montmeló;0;0;0;0;0
251425;Montoliu de Lleida;0;0;0;0;0
251410;Montoliu de Segarra;6;6;0;0;12
251431;Montornès de Segarra;0;24;0;0;24
081363;Montornès del Vallès;0;0;15;0;15
430918;Mont-ral;0;19;10;0;29
171100;Mont-ras;0;0;0;0;0
430923;Mont-roig del Camp;0;0;0;0;0
081379;Montseny;0;0;0;50;50
430939;Móra d'Ebre;0;0;0;0;0
430944;Móra la Nova;0;0;0;0;0
430957;Morell, el;0;0;0;0;0
430960;Morera de Montsant, la;0;0;0;0;0
081290;Muntanyola;0;0;49;9;58
081398;Mura;0;23;6;0;29
251459;Nalec;0;12;0;0;12
250254;Naut Aran;15;58;0;0;73
081402;Navarcles;0;0;0;0;0
081419;Navàs;0;0;0;4;4
171117;Navata;0;14;0;0;14
251462;Navès;0;8;0;125;133
081424;Nou de Berguedà, la;0;0;0;39;39
430976;Nou de Gaià, la;0;0;0;0;0
430982;Nulles;0;44;0;24;68
251484;Odèn;0;0;0;102;102
081430;Òdena;0;0;0;0;0
171122;Ogassa;0;0;0;15;15
081458;Olèrdola;12;4;0;10;26
081461;Olesa de Bonesvalls;0;10;12;0;22
081477;Olesa de Montserrat;0;0;0;0;0
251497;Oliana;0;0;0;0;0
251500;Oliola;0;29;0;18;47
251517;Olius;0;0;0;43;43
081483;Olivella;0;0;0;0;0
081496;Olost;0;7;0;49;56
171143;Olot;0;0;0;57;57
251522;Oluges, les;0;22;0;11;33
081445;Olvan;0;0;0;74;74
251538;Omellons, els;0;0;0;0;0
251543;Omells de na Gaia, els;5;0;0;0;5
171156;Ordis;0;20;0;0;20
251556;Organyà;0;21;0;0;21
081509;Orís;0;0;0;0;0
081516;Oristà;0;18;0;65;83
081521;Orpí;0;35;0;0;35
081537;Òrrius;0;0;0;0;0
251569;Os de Balaguer;0;0;0;24;24
171169;Osor;0;15;0;18;33
251575;Ossó de Sió;0;48;11;0;59
081542;Pacs del Penedès;0;6;0;0;6
081555;Palafolls;0;0;0;34;34
171175;Palafrugell;15;0;0;10;25
171181;Palamós;0;0;15;15;30
251581;Palau d'Anglesola, el;0;0;0;0;0
171194;Palau de Santa Eulàlia;0;0;0;15;15
171215;Palau-sator;29;47;0;0;76
171208;Palau-saverdera;13;4;14;0;31
081568;Palau-solità i Plegamans;0;0;0;0;0
431009;Pallaresos, els;0;0;0;0;0
081574;Pallejà;0;0;0;0;0
430995;Palma d'Ebre, la;9;0;0;0;9
089058;Palma de Cervelló, la;0;0;0;0;0
171236;Palol de Revardit;0;0;15;17;32
171241;Pals;0;0;44;17;61
081580;Papiol, el;0;0;0;0;0
171254;Pardines;0;19;0;24;43
081593;Parets del Vallès;0;0;0;0;0
171267;Parlavà;0;0;18;32;50
431016;Passanant i Belltall;0;13;0;0;13
171289;Pau;7;0;0;0;7
431021;Paüls;9;9;0;0;18
171292;Pedret i Marzà;8;22;0;8;38
251641;Penelles;0;6;0;0;6
171306;Pera, la;24;0;13;0;37
081607;Perafita;0;24;15;33;72
431037;Perafort;0;0;0;0;0
171328;Peralada;16;26;66;36;144
251654;Peramola;13;7;0;0;20
431042;Perelló, el;0;0;23;23;46
081614;Piera;0;0;0;0;0
431055;Piles, les;0;23;0;0;23
081635;Pineda de Mar;0;0;0;0;0
431068;Pinell de Brai, el;0;9;0;6;15
251667;Pinell de Solsonès;0;13;15;36;64
251673;Pinós;0;0;0;64;64
431074;Pira;0;16;0;0;16
431080;Pla de Santa Maria, el;0;0;0;15;15
081640;Pla del Penedès, el;0;15;8;34;57
171334;Planes d'Hostoles, les;0;0;6;50;56
171349;Planoles;0;0;22;0;22
259118;Plans de Sió, els;0;4;0;20;24
251689;Poal, el;0;0;0;23;23
251692;Pobla de Cérvoles, la;14;0;0;0;14
081653;Pobla de Claramunt, la;0;0;0;0;0
081666;Pobla de Lillet, la;0;0;0;18;18
431093;Pobla de Mafumet, la;0;0;0;0;0
431107;Pobla de Massaluca, la;0;22;0;0;22
431114;Pobla de Montornès, la;0;0;0;0;0
251713;Pobla de Segur, la;0;0;8;0;8
431129;Poboleda;0;12;0;0;12
081672;Polinyà;0;0;0;0;0
431135;Pont d'Armentera, el;0;0;0;0;0
250306;Pont de Bar, el;0;16;0;12;28
171352;Pont de Molins;0;0;0;0;0
251734;Pont de Suert, el;41;57;0;0;98
081825;Pont de Vilomara i Rocafort, el;0;0;0;0;0
431418;Pontils;0;0;15;0;15
081688;Pontons;15;24;0;25;64
171365;Pontós;0;19;26;0;45
251728;Ponts;0;0;0;0;0
171371;Porqueres;0;15;0;50;65
431140;Porrera;0;35;15;0;50
171404;Port de la Selva, el;0;0;0;0;0
171387;Portbou;0;0;0;0;0
251749;Portella, la;0;0;0;0;0
431153;Pradell de la Teixeta;12;5;0;0;17
431166;Prades;27;0;2;0;29
431172;Prat de Comte;0;20;0;0;20
081691;Prat de Llobregat, el;0;0;0;0;0
431188;Pratdip;12;0;0;0;12
081712;Prats de Lluçanès;0;0;0;0;0
081705;Prats de Rei, els;0;18;0;16;34
251752;Prats i Sansor;12;0;0;0;12
251765;Preixana;0;0;0;0;0
251771;Preixens;10;23;0;0;33
082303;Premià de Dalt;0;0;0;0;0
081727;Premià de Mar;0;0;0;0;0
171390;Preses, les;0;0;0;0;0
251790;Prullans;0;4;0;0;4
171411;Puigcerdà;6;15;25;42;88
081748;Puigdàlber;0;0;0;0;0
251804;Puiggròs;0;13;0;0;13
431191;Puigpelat;0;0;0;0;0
081751;Puig-reig;0;0;0;86;86
251811;Puigverd d'Agramunt;0;0;0;0;0
251826;Puigverd de Lleida;0;0;0;0;0
081764;Pujalt;15;40;0;42;97
081770;Quar, la;7;0;0;0;7
171426;Quart;0;0;16;20;36
170433;Queralbs;6;26;15;0;47
431205;Querol;0;0;15;23;38
171432;Rabós;0;13;0;0;13
081786;Rajadell;0;0;9;15;24
431362;Ràpita, la;0;0;0;9;9
431212;Rasquera;0;18;15;0;33
171447;Regencós;0;0;0;0;0
081799;Rellinars;14;0;12;0;26
431227;Renau;0;7;0;21;28
431233;Reus;0;0;4;7;11
251832;Rialp;33;50;0;0;83
431248;Riba, la;0;0;0;0;0
431251;Riba-roja d'Ebre;0;0;0;0;0
259059;Ribera d'Ondara;0;10;0;0;10
251850;Ribera d'Urgellet;27;23;0;13;63
171450;Ribes de Freser;15;0;0;30;45
171463;Riells i Viabrea;0;0;0;0;0
431264;Riera de Gaià, la;0;8;0;0;8
251863;Riner;0;14;0;0;14
171479;Ripoll;0;0;55;65;120
081803;Ripollet;0;0;0;0;0
259139;Riu de Cerdanya;0;0;0;0;0
171485;Riudarenes;0;8;14;57;79
171498;Riudaura;9;10;0;21;40
431270;Riudecanyes;0;0;0;20;20
431286;Riudecols;15;0;0;0;15
171501;Riudellots de la Selva;0;0;6;15;21
431299;Riudoms;0;0;0;29;29
171518;Riumors;15;0;0;0;15
081810;Roca del Vallès, la;0;0;0;0;0
431303;Rocafort de Queralt;0;14;0;0;14
431310;Roda de Berà;0;0;0;4;4
081831;Roda de Ter;0;0;0;0;0
431325;Rodonyà;15;0;0;0;15
431331;Roquetes;0;8;8;10;26
171523;Roses;0;0;8;0;8
251898;Rosselló;0;0;0;0;0
431346;Rourell, el;0;8;0;0;8
081846;Rubí;0;0;0;0;0
081859;Rubió;0;0;8;8;16
171539;Rupià;0;0;7;7;14
089019;Rupit i Pruit;0;0;27;61;88
081878;Sabadell;0;0;0;0;0
081884;Sagàs;0;0;0;213;213
251902;Salàs de Pallars;11;7;0;0;18
081901;Saldes;0;0;15;15;30
171544;Sales de Llierca;0;0;0;11;11
081918;Sallent;0;0;0;17;17
431359;Salomó;0;6;0;0;6
439057;Salou;0;0;0;0;0
171557;Salt;0;0;0;0;0
251919;Sanaüja;0;5;0;0;5
081944;Sant Adrià de Besòs;0;0;0;0;0
081957;Sant Agustí de Lluçanès;0;24;0;64;88
081960;Sant Andreu de la Barca;0;0;0;0;0
081976;Sant Andreu de Llavaneres;0;0;0;0;0
171576;Sant Andreu Salou;0;0;0;14;14
171833;Sant Aniol de Finestres;0;0;22;12;34
081982;Sant Antoni de Vilamajor;0;0;0;8;8
081995;Sant Bartomeu del Grau;0;0;0;16;16
082009;Sant Boi de Llobregat;0;0;0;0;0
082016;Sant Boi de Lluçanès;0;20;0;8;28
082037;Sant Cebrià de Vallalta;0;0;0;0;0
082021;Sant Celoni;0;0;24;13;37
082042;Sant Climent de Llobregat;0;0;0;0;0
171582;Sant Climent Sescebes;14;0;6;4;24
082055;Sant Cugat del Vallès;0;0;0;0;0
082068;Sant Cugat Sesgarrigues;0;0;0;0;0
